1120114905821003776,"How does Mustafi go from a World Cup winner
Too my 6yo being able to defend better?
#ARSCRY",2019-04-21 23:59:38,False,hashtags,71,0,0,
1120112742298349570, #ARSCRY  Arsenal Cry,2019-04-21 23:51:03,False,hashtags,1449,0,1,
1120111827017297920,"Winning at Arsenal combined with the Cardiff v Liverpool result means #CPFC are safe, as are #AFCB and #NUFC. #Burnley and #Southampton are still theoretically still in danger of the drop, but they should make it. #ARSCRY",2019-04-21 23:47:24,False,hashtags,710,0,0,
1120109627448930305,Ive seen better defending in school pe than what mustafi did on that pitch today. Totally unacceptable. #ARSCRY,2019-04-21 23:38:40,False,hashtags,21,0,1,
1120109258098597889,"#ARSCRY

Teenage Girl on her first flight Bursts Into Tears After Looking Through The Window readmore  ",2019-04-21 23:37:12,False,hashtags,2397,0,0,
1120109227232698368,"#ARSCRY

Teenage Girl on her first flight Bursts Into Tears After Looking Through The Window readmore  ",2019-04-21 23:37:05,False,hashtags,741,0,0,
1120109194420654081,"#ARSCRY

Teenage Girl on her first flight Bursts Into Tears After Looking Through The Window readmore  ",2019-04-21 23:36:57,False,hashtags,5504,0,0,
1120109149893943296,"#ARSCRY

Teenage Girl on her first flight Bursts Into Tears After Looking Through The Window readmore  ",2019-04-21 23:36:46,False,hashtags,294,0,0,
1120107504522887169,"Dear  
Mustafi's best position on this team is ON THE BENCH next to Elneny. Please do no more further experiment. 
Thanks,
Arsenal fans #ARSCRY #afc",2019-04-21 23:30:14,False,hashtags,293,0,2,
1120106989827297281,"#ARSCRY
INSTAGRAM Lady Naked Herself To Prove Showing Your Body Doesnt Make You A Hoe (WatchVideo)  ",2019-04-21 23:28:11,False,hashtags,294,0,0,
1120106702853087232,"PLZ JUST WAIT FOR IT!!

#420day #ARSCRY #HeIsRisen #MUFC #EasterSunday #Easter #AvengersEndgame #Celtics #LeafsForever #AmstelGoldRace #leafsvsbruins #100T #10m #2Mil #alive ",2019-04-21 23:27:03,False,hashtags,10,0,2,
1120105843096035328,"ARSENAL 2 - CRYSTAL PALACE



#ARSCRY #Arsenal #COYG",2019-04-21 23:23:38,False,hashtags,370,0,0,
1120105735814180864,"Woke up in Malaysia to a disappointing result. However, Emery has every right to believe his squad can win at home vs a bottom half team, albeit one with a great away record. Elneny-Guendouzi is not a MF pairing we can play, while defensive errors are not his own. #COYG #ARSCRY",2019-04-21 23:23:12,False,hashtags,182,0,2,
